                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0397,                 4.3337,                 4.1864,                0.00202,                0.57143,                0.00226,                0.00065,                  2.592,                 4.5708,                 4.1453,                0.00032,                0.00032,                0.00032
                      2,                   3.05,                 4.1059,                 4.0621,                0.00193,                0.57143,                0.00268,                0.00085,                 2.5608,                 4.5428,                 4.1023,             0.00065406,             0.00065406,             0.00065406
                      3,                 2.9116,                 3.7311,                 3.7633,                0.00205,                0.57143,                0.00737,                0.00142,                 2.5161,                 4.3535,                  4.085,               0.000982,               0.000982,               0.000982
                      4,                 2.8121,                 3.7405,                 3.5012,                0.00289,                0.92857,                0.00751,                0.00192,                 2.2232,                 4.6328,                   3.97,              0.0013038,              0.0013038,              0.0013038
                      5,                  2.786,                 3.6124,                 3.3963,                0.00267,                0.85714,                0.00557,                 0.0017,                 2.2505,                 4.3321,                 3.5315,              0.0016195,              0.0016195,              0.0016195
                      6,                 2.8698,                  3.298,                 3.3051,                0.00187,                0.28571,                0.00203,                0.00039,                 2.3667,                 4.5675,                 4.4149,                0.00191,                0.00191,                0.00191
                      7,                 2.8824,                 3.2449,                 3.2446,                0.00357,                0.64286,                0.00425,                0.00134,                 2.3728,                 4.1935,                  3.821,               0.001892,               0.001892,               0.001892
                      8,                 2.8592,                 3.0965,                 3.2055,                0.00351,                0.53571,                0.00289,                0.00103,                 2.7571,                 4.5196,                 4.3029,               0.001874,               0.001874,               0.001874
                      9,                 2.7083,                 2.8903,                 3.0934,                0.01353,                0.17857,                0.00829,                0.00287,                 2.4142,                 130.03,                 3.2732,               0.001856,               0.001856,               0.001856
                     10,                 2.7465,                   2.77,                 3.1136,                0.14121,                0.12368,                0.07432,                0.02575,                 2.5679,                 3.6954,                 3.1374,               0.001838,               0.001838,               0.001838
                     11,                 2.7133,                 2.5402,                 3.1134,                0.43639,                0.35714,                 0.3826,                0.10344,                 2.3789,                 4.9116,                 2.9673,                0.00182,                0.00182,                0.00182
                     12,                 2.6731,                 2.5718,                  3.052,                0.52112,                0.64286,                 0.5589,                0.19751,                 2.2623,                  2.667,                 2.7197,               0.001802,               0.001802,               0.001802
                     13,                 2.6848,                 2.5234,                 3.0671,                0.71961,                0.55035,                0.68793,                0.23588,                 2.1028,                 2.7427,                 2.6487,               0.001784,               0.001784,               0.001784
                     14,                  2.541,                 2.3777,                  2.996,                0.86029,                0.64286,                0.73337,                0.27119,                 2.1359,                 2.2657,                  2.741,               0.001766,               0.001766,               0.001766
                     15,                 2.4891,                 2.3263,                 2.8975,                0.91576,                0.77682,                0.82332,                0.31199,                 2.0598,                 2.8178,                 2.5411,               0.001748,               0.001748,               0.001748
                     16,                 2.4233,                 2.2795,                 2.8964,                0.77226,                0.46429,                0.66253,                0.26101,                 1.9552,                 2.2209,                 2.5542,                0.00173,                0.00173,                0.00173
                     17,                 2.4305,                 2.1294,                 2.8374,                0.60217,                   0.75,                0.72519,                0.30636,                 1.9171,                 2.2173,                 2.5037,               0.001712,               0.001712,               0.001712
                     18,                 2.3072,                 2.0849,                 2.7094,                0.78687,                0.57143,                0.65694,                0.33772,                 1.8795,                 1.9533,                 2.3727,               0.001694,               0.001694,               0.001694
                     19,                 2.2211,                 2.0343,                 2.6338,                0.68419,                0.60714,                0.68674,                0.25065,                 2.1153,                 2.1744,                 2.6085,               0.001676,               0.001676,               0.001676
                     20,                 2.2641,                 1.9786,                  2.675,                0.83081,                0.70187,                0.84397,                0.40497,                 1.8529,                 1.9109,                 2.4093,               0.001658,               0.001658,               0.001658
                     21,                  2.159,                 1.9317,                  2.577,                0.81376,                0.60714,                0.74087,                0.37576,                 1.8242,                 1.7738,                 2.3826,                0.00164,                0.00164,                0.00164
                     22,                 2.1566,                  1.878,                 2.5787,                0.74016,                0.78571,                 0.8141,                0.39485,                 1.7898,                 1.8264,                 2.3164,               0.001622,               0.001622,               0.001622
                     23,                 2.0493,                 1.7818,                 2.5286,                0.85134,                0.81822,                0.85601,                 0.4846,                 1.7421,                 1.3241,                 2.2778,               0.001604,               0.001604,               0.001604
                     24,                 2.1398,                 1.6791,                 2.5276,                 0.9589,                0.83367,                0.91982,                0.49612,                 1.6541,                 1.3611,                 2.1893,               0.001586,               0.001586,               0.001586
                     25,                 1.9544,                 1.5128,                 2.4478,                 0.8743,                0.85714,                0.90651,                0.52442,                 1.5721,                 1.5257,                 2.0345,               0.001568,               0.001568,               0.001568
                     26,                 1.8631,                 1.5099,                 2.3448,                0.86223,                0.89414,                0.90914,                0.53825,                 1.5051,                  1.482,                 2.0083,                0.00155,                0.00155,                0.00155
                     27,                 1.8409,                 1.4704,                 2.3316,                0.93328,                0.78571,                0.91007,                0.53316,                 1.5621,                 1.2068,                 1.9985,               0.001532,               0.001532,               0.001532
                     28,                 1.8736,                 1.5208,                   2.37,                0.92615,                   0.75,                0.87293,                0.50283,                 1.5862,                 1.2136,                 2.0374,               0.001514,               0.001514,               0.001514
                     29,                 1.8559,                 1.4018,                 2.3001,                0.85447,                0.85714,                0.86977,                0.47171,                 1.6056,                 1.2643,                 1.9817,               0.001496,               0.001496,               0.001496
                     30,                 1.6556,                 1.3255,                 2.1029,                0.83487,                0.82143,                0.88559,                0.56587,                 1.3677,                 1.6042,                 1.8543,               0.001478,               0.001478,               0.001478
                     31,                 1.7604,                 1.3795,                  2.205,                0.91836,                 0.8039,                0.89284,                0.52847,                 1.5032,                  1.289,                 1.8483,                0.00146,                0.00146,                0.00146
                     32,                 1.7152,                 1.3381,                 2.1383,                0.94877,                0.89286,                 0.9229,                0.56468,                 1.3634,                 1.0408,                 1.7952,               0.001442,               0.001442,               0.001442
                     33,                 1.6447,                 1.3455,                 2.0921,                      1,                 0.8122,                0.91009,                0.61529,                 1.3585,                0.98799,                 1.7853,               0.001424,               0.001424,               0.001424
                     34,                 1.6168,                 1.3033,                   2.04,                 0.9167,                0.89286,                0.90397,                0.56096,                 1.4398,                0.96192,                 1.7691,               0.001406,               0.001406,               0.001406
                     35,                  1.541,                  1.221,                 2.0443,                0.98115,                0.92857,                0.92655,                0.62767,                 1.3118,                 1.1503,                 1.6992,               0.001388,               0.001388,               0.001388
                     36,                 1.6075,                 1.1696,                 2.0528,                0.95462,                0.85714,                0.91241,                0.61433,                 1.2685,                 0.9726,                 1.6919,                0.00137,                0.00137,                0.00137
                     37,                  1.499,                 1.1013,                 1.9255,                0.89627,                0.92581,                0.88025,                0.53417,                 1.3467,                 1.0515,                 1.7339,               0.001352,               0.001352,               0.001352
                     38,                 1.4733,                 1.0923,                 1.9365,                 0.9176,                0.92857,                0.88634,                0.56944,                 1.3384,                 1.0007,                 1.7207,               0.001334,               0.001334,               0.001334
                     39,                 1.4647,                  1.109,                 1.9363,                0.96867,                0.85714,                0.91938,                0.66558,                 1.2123,                0.90629,                 1.6561,               0.001316,               0.001316,               0.001316
                     40,                 1.5079,                 1.1363,                 1.9989,                0.99111,                0.92857,                0.93017,                0.65027,                 1.1564,                0.82582,                 1.6074,               0.001298,               0.001298,               0.001298
                     41,                 1.5021,                 1.1719,                 1.9597,                0.99506,                0.92857,                0.93298,                 0.6108,                 1.2424,                0.89989,                 1.6699,                0.00128,                0.00128,                0.00128
                     42,                 1.4212,                 1.0696,                 1.8711,                0.89646,                0.92764,                0.91511,                0.58471,                 1.3262,                0.86694,                 1.6901,               0.001262,               0.001262,               0.001262
                     43,                 1.5095,                  1.055,                 1.9502,                0.99938,                0.85714,                0.91677,                0.62806,                 1.3161,                0.87136,                 1.6765,               0.001244,               0.001244,               0.001244
                     44,                 1.4745,                 1.0668,                 1.9232,                0.99735,                0.92857,                0.92649,                0.64712,                 1.1381,                0.86015,                 1.5601,               0.001226,               0.001226,               0.001226
                     45,                 1.4083,                 1.0667,                 1.8675,                0.97472,                0.89286,                0.92498,                0.67494,                 1.1596,                0.83999,                 1.5451,               0.001208,               0.001208,               0.001208
                     46,                 1.4648,                 1.1038,                 1.9212,                 0.9882,                0.89286,                0.92238,                 0.6465,                 1.2086,                0.97827,                 1.5982,                0.00119,                0.00119,                0.00119
                     47,                 1.3658,                0.96278,                 1.8347,                0.96169,                0.89671,                0.92622,                0.64933,                 1.2105,                0.76748,                 1.5746,               0.001172,               0.001172,               0.001172
                     48,                 1.4406,                 1.0863,                 1.9013,                0.99502,                0.92857,                0.92816,                0.63541,                 1.2865,                0.72611,                 1.6236,               0.001154,               0.001154,               0.001154
                     49,                 1.4637,                 1.0562,                 1.8529,                0.95704,                0.89286,                 0.9215,                0.65712,                 1.2126,                0.83147,                 1.6289,               0.001136,               0.001136,               0.001136
                     50,                 1.4021,                 0.9963,                 1.8721,                0.98946,                0.89286,                0.92623,                0.64824,                 1.2541,                0.79363,                 1.6506,               0.001118,               0.001118,               0.001118
                     51,                 1.3093,                0.96375,                 1.7999,                      1,                0.92062,                0.92796,                0.65413,                 1.2075,                0.75707,                 1.5802,                 0.0011,                 0.0011,                 0.0011
                     52,                 1.3671,                0.97503,                 1.8103,                0.98695,                0.92857,                0.92802,                0.66856,                  1.108,                0.73857,                  1.497,               0.001082,               0.001082,               0.001082
                     53,                 1.2796,                0.93277,                 1.7308,                0.99522,                0.92857,                0.92849,                0.70459,                 1.0644,                0.71763,                 1.4892,               0.001064,               0.001064,               0.001064
                     54,                 1.3229,                 1.3268,                  1.738,                0.99572,                0.92857,                0.93878,                0.65293,                 1.2151,                0.72024,                 1.5677,               0.001046,               0.001046,               0.001046
                     55,                 1.3346,                0.97568,                 1.7453,                0.93496,                0.89286,                0.91736,                0.64843,                 1.1961,                0.93657,                 1.5823,               0.001028,               0.001028,               0.001028
                     56,                 1.2978,                0.89888,                 1.7512,                0.99446,                0.92857,                0.94188,                0.67773,                 1.1138,                 0.6749,                 1.4925,                0.00101,                0.00101,                0.00101
                     57,                 1.3123,                0.91966,                 1.7586,                0.99552,                0.92857,                0.94092,                 0.5957,                 1.3051,                0.77652,                 1.6537,               0.000992,               0.000992,               0.000992
                     58,                 1.2578,                0.92773,                 1.7043,                0.99369,                0.92857,                0.93995,                0.66991,                 1.1613,                0.71732,                 1.5641,               0.000974,               0.000974,               0.000974
                     59,                 1.2856,                0.93627,                 1.7377,                0.99086,                0.92857,                0.94178,                0.67144,                 1.1688,                0.76584,                  1.575,               0.000956,               0.000956,               0.000956
                     60,                 1.2959,                0.92555,                 1.7456,                0.99695,                0.92857,                0.93145,                0.70259,                 1.1406,                0.74227,                 1.5138,               0.000938,               0.000938,               0.000938
