                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.2794,                0.87871,                 1.6985,                0.99749,                0.92857,                0.94772,                0.69091,                 1.1211,                 0.6237,                  1.498,                0.00092,                0.00092,                0.00092
                     62,                 1.2792,                0.88889,                  1.713,                 0.9949,                0.92857,                0.94666,                0.65545,                 1.2089,                0.75823,                 1.5572,               0.000902,               0.000902,               0.000902
                     63,                 1.2747,                0.90163,                 1.7132,                0.99321,                0.92857,                0.94295,                0.68201,                 1.0943,                 0.7145,                 1.5008,               0.000884,               0.000884,               0.000884
                     64,                 1.2908,                0.89382,                  1.732,                0.98541,                0.92857,                 0.9432,                0.71062,                 1.0082,                0.67926,                 1.4444,               0.000866,               0.000866,               0.000866
                     65,                 1.2498,                 0.8717,                 1.7013,                0.99415,                0.92857,                0.93331,                0.65347,                 1.1838,                0.74053,                 1.5668,               0.000848,               0.000848,               0.000848
                     66,                  1.312,                0.92897,                 1.7655,                0.99425,                0.92857,                0.92656,                0.66495,                 1.0834,                0.80539,                 1.5048,                0.00083,                0.00083,                0.00083
                     67,                  1.194,                0.84839,                 1.6619,                0.99461,                0.92857,                0.92684,                0.65966,                 1.1528,                0.71822,                  1.537,               0.000812,               0.000812,               0.000812
                     68,                 1.1916,                0.83296,                 1.6689,                0.99419,                0.92857,                0.93479,                0.67986,                 1.0366,                0.62115,                 1.4625,               0.000794,               0.000794,               0.000794
                     69,                 1.2048,                0.85262,                 1.6684,                      1,                0.92549,                 0.9349,                0.68328,                 1.0939,                0.67231,                  1.468,               0.000776,               0.000776,               0.000776
                     70,                 1.1555,                0.82014,                 1.6075,                0.99473,                0.92857,                0.93864,                 0.6607,                  1.029,                0.62654,                 1.4496,               0.000758,               0.000758,               0.000758
                     71,                 1.1479,                0.78648,                 1.6316,                0.99334,                0.92857,                0.94548,                0.68419,                 1.0647,                0.59444,                 1.4763,                0.00074,                0.00074,                0.00074
                     72,                 1.2128,                0.84665,                 1.6629,                      1,                0.92851,                0.94375,                 0.6905,                 1.0448,                0.62535,                 1.4386,               0.000722,               0.000722,               0.000722
                     73,                 1.1089,                 0.7947,                 1.5676,                0.99683,                0.92857,                0.93405,                0.70079,                 1.0198,                0.59629,                 1.4332,               0.000704,               0.000704,               0.000704
                     74,                 1.1901,                0.82707,                   1.65,                0.99528,                0.92857,                0.93179,                0.70098,                 1.0008,                0.60529,                 1.4131,               0.000686,               0.000686,               0.000686
                     75,                 1.1763,                0.78934,                 1.6095,                0.99546,                0.92857,                0.94618,                 0.6739,                 1.0573,                0.57211,                 1.4892,               0.000668,               0.000668,               0.000668
                     76,                 1.1753,                 0.7574,                 1.6018,                0.99628,                0.92857,                0.95226,                0.70886,                 1.0298,                0.56522,                 1.4602,                0.00065,                0.00065,                0.00065
                     77,                 1.1664,                0.79042,                 1.6004,                0.99554,                0.92857,                0.94868,                 0.6986,                0.99208,                 0.5785,                  1.425,               0.000632,               0.000632,               0.000632
                     78,                 1.1508,                0.75079,                 1.5967,                 0.9964,                0.92857,                0.94796,                0.70389,                 1.0127,                0.59604,                 1.4171,               0.000614,               0.000614,               0.000614
                     79,                 1.2013,                0.77525,                 1.6843,                0.99559,                0.92857,                0.95071,                0.69952,                0.99764,                0.56191,                 1.4184,               0.000596,               0.000596,               0.000596
                     80,                 1.1867,                0.79584,                 1.6065,                0.99703,                0.92857,                0.95161,                0.70122,                 1.0681,                 0.6639,                  1.451,               0.000578,               0.000578,               0.000578
                     81,                  1.152,                 0.7762,                  1.624,                0.99613,                0.92857,                0.95025,                0.71187,                0.97374,                0.63018,                   1.41,                0.00056,                0.00056,                0.00056
                     82,                 1.0775,                0.74238,                 1.5629,                0.99561,                0.92857,                0.95493,                0.71592,                 1.0046,                0.59852,                 1.4192,               0.000542,               0.000542,               0.000542
                     83,                 1.0892,                0.70435,                 1.5764,                0.99086,                0.92857,                0.94661,                0.70192,                 1.0221,                 0.5901,                 1.4354,               0.000524,               0.000524,               0.000524
                     84,                 1.0809,                0.72131,                 1.5603,                0.99088,                0.92857,                0.94311,                0.69286,                 1.0235,                 0.6182,                 1.4429,               0.000506,               0.000506,               0.000506
                     85,                 1.1091,                0.75186,                  1.583,                0.99386,                0.92857,                  0.941,                0.68035,                 1.0314,                0.60459,                 1.4339,               0.000488,               0.000488,               0.000488
                     86,                 1.1629,                0.79457,                 1.6155,                0.99587,                0.92857,                0.94356,                0.66713,                  1.179,                0.62706,                 1.5532,                0.00047,                0.00047,                0.00047
                     87,                 1.0904,                0.71963,                 1.5562,                0.99486,                0.92857,                0.95272,                0.69107,                 1.0223,                0.58341,                 1.4462,               0.000452,               0.000452,               0.000452
                     88,                 1.0714,                0.76041,                 1.5458,                0.98352,                0.92857,                0.95681,                0.69104,                 1.0607,                0.59423,                  1.438,               0.000434,               0.000434,               0.000434
                     89,                 1.0983,                0.73134,                 1.5504,                 0.9925,                0.92857,                0.95155,                0.71744,                0.95844,                0.55856,                 1.4044,               0.000416,               0.000416,               0.000416
                     90,                 1.0456,                 0.7027,                 1.5353,                0.99201,                0.92857,                0.95143,                0.70355,                 1.0151,                0.60725,                 1.4348,               0.000398,               0.000398,               0.000398
                     91,                 1.0043,                0.69916,                 1.4877,                0.99142,                0.92857,                0.95205,                0.69568,                 1.0234,                0.57774,                 1.4466,                0.00038,                0.00038,                0.00038
                     92,                  1.053,                0.70671,                 1.5212,                0.99364,                0.92857,                0.95806,                 0.6896,                 1.0737,                0.56285,                 1.4734,               0.000362,               0.000362,               0.000362
                     93,                 1.1066,                0.72377,                 1.5759,                0.99207,                0.92857,                0.95688,                 0.6777,                 1.0351,                0.57891,                 1.4437,               0.000344,               0.000344,               0.000344
                     94,                 1.0584,                0.75193,                 1.5226,                0.99135,                0.92857,                 0.9548,                0.70157,                 1.0207,                0.59763,                 1.4362,               0.000326,               0.000326,               0.000326
                     95,                 1.0259,                0.73774,                 1.5288,                0.99292,                0.92857,                0.93724,                0.69976,                0.98649,                0.55827,                 1.3988,               0.000308,               0.000308,               0.000308
                     96,                 1.0347,                0.66895,                 1.5249,                0.99372,                0.92857,                0.93648,                0.70331,                0.98201,                0.54129,                 1.3935,                0.00029,                0.00029,                0.00029
                     97,                0.98216,                0.64801,                 1.4784,                0.99222,                0.92857,                0.95775,                 0.6867,                 1.0598,                0.56499,                 1.4401,               0.000272,               0.000272,               0.000272
                     98,                0.97855,                0.63801,                 1.4996,                0.99184,                0.92857,                0.95612,                0.69658,                 1.0353,                0.57025,                 1.4375,               0.000254,               0.000254,               0.000254
                     99,                 1.0669,                0.66146,                 1.5319,                0.99185,                0.92857,                0.95569,                0.68738,                 1.0058,                0.56389,                  1.416,               0.000236,               0.000236,               0.000236
                    100,                   1.02,                0.64796,                 1.4742,                0.99388,                0.92857,                0.95865,                0.70306,                 0.9938,                 0.5716,                 1.4058,               0.000218,               0.000218,               0.000218
                    101,                0.94674,                0.66651,                 1.4827,                0.99368,                0.92857,                0.95297,                0.67906,                 1.0488,                0.57897,                 1.4426,                 0.0002,                 0.0002,                 0.0002
                    102,                0.97386,                0.63968,                 1.4313,                0.99356,                0.92857,                0.95697,                0.66508,                 1.1096,                0.58524,                 1.4776,               0.000182,               0.000182,               0.000182
                    103,                0.90502,                0.63023,                 1.4165,                0.99468,                0.92857,                0.95804,                0.72653,                0.98419,                0.52568,                 1.3853,               0.000164,               0.000164,               0.000164
                    104,                0.90226,                0.61813,                 1.4286,                0.99285,                0.92857,                 0.9578,                0.72304,                 1.0154,                0.52968,                 1.4101,               0.000146,               0.000146,               0.000146
                    105,                0.86563,                0.54292,                  1.355,                 0.9918,                0.92857,                0.95752,                0.69003,                 1.0152,                0.55163,                 1.4263,               0.000128,               0.000128,               0.000128
                    106,                0.87798,                 0.5578,                  1.374,                0.99228,                0.92857,                0.95941,                0.71204,                 0.9747,                0.55539,                 1.3994,                0.00011,                0.00011,                0.00011
                    107,                 1.0252,                0.67575,                 1.5106,                0.99259,                0.92857,                0.95702,                0.71996,                 0.9446,                0.53288,                 1.3746,                9.2e-05,                9.2e-05,                9.2e-05
                    108,                0.91513,                0.56881,                 1.4339,                0.99297,                0.92857,                0.95702,                0.72129,                0.95254,                0.53401,                 1.3729,                7.4e-05,                7.4e-05,                7.4e-05
                    109,                0.92373,                0.56041,                 1.3949,                0.99238,                0.92857,                0.95686,                0.71888,                0.96036,                0.53286,                 1.3735,                5.6e-05,                5.6e-05,                5.6e-05
                    110,                0.84395,                 0.5702,                 1.3744,                0.99186,                0.92857,                0.95687,                0.73092,                0.96919,                0.53678,                   1.38,                3.8e-05,                3.8e-05,                3.8e-05
