                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4572,                 1.1634,                 1.8966,                0.93912,                0.92419,                0.97037,                0.66149,                 1.2215,                 0.9406,                 1.6649,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4728,                 1.1294,                 1.9018,                0.92766,                0.90253,                0.96194,                0.64112,                 1.2173,                 1.0486,                 1.6541,               0.001307,               0.001307,               0.001307
                     37,                 1.4757,                 1.0464,                  1.907,                0.91249,                0.90342,                0.95501,                0.61082,                 1.3263,                0.94835,                 1.7833,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.436,                 1.0891,                  1.882,                0.95097,                0.91018,                0.96728,                0.65769,                 1.1749,                0.90062,                 1.6392,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.436,                 1.0784,                 1.8507,                0.94799,                0.92419,                0.96729,                0.63327,                 1.2596,                0.90167,                 1.6659,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3531,                 1.0057,                 1.7717,                0.95238,                0.94946,                0.97088,                0.66612,                 1.2114,                0.81065,                 1.5949,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.357,                 1.0202,                  1.813,                0.96071,                0.93502,                0.96946,                0.65831,                 1.1872,                0.84561,                 1.6033,               0.001208,               0.001208,               0.001208
                     42,                 1.3357,                0.96491,                 1.7445,                0.95423,                0.93863,                0.97394,                0.66225,                 1.1633,                0.81901,                 1.6023,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.457,                 1.0272,                 1.8406,                0.93717,                0.91548,                0.96661,                0.67407,                 1.1193,                0.87357,                 1.5463,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3754,                 1.0009,                 1.8036,                 0.9763,                 0.9278,                0.97041,                 0.6822,                 1.1425,                0.81529,                 1.5484,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3256,                0.96897,                 1.7581,                0.95553,                0.93502,                0.97439,                  0.683,                 1.0987,                0.80697,                 1.5243,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2637,                0.93759,                 1.6926,                0.96197,                0.93863,                0.96863,                0.67954,                 1.1322,                0.78605,                 1.5357,               0.001109,               0.001109,               0.001109
                     47,                 1.2644,                0.91292,                 1.7057,                0.97717,                0.92698,                0.96742,                0.67748,                  1.076,                 0.8103,                 1.4917,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3078,                0.93653,                 1.7226,                0.96983,                0.92831,                0.96554,                 0.6498,                 1.1668,                0.76872,                 1.5617,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3101,                0.94186,                 1.7515,                0.96307,                0.94136,                0.97128,                0.70713,                 1.0558,                0.77823,                 1.5056,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2596,                0.87829,                 1.7166,                0.93922,                0.94838,                 0.9721,                0.70744,                 1.0334,                0.73172,                 1.5013,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2688,                0.92018,                 1.7121,                0.97151,                0.90614,                0.97209,                0.70686,                 1.0215,                0.73156,                  1.451,                0.00101,                0.00101,                0.00101
                     52,                 1.2821,                0.90772,                 1.7178,                0.96432,                0.95668,                0.97664,                0.71042,                 1.0243,                0.71444,                 1.4759,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2758,                0.93379,                 1.7123,                0.96684,                0.94738,                0.97529,                0.70737,                 1.0261,                0.72985,                 1.4655,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1944,                 0.8834,                 1.6513,                0.96743,                0.94585,                 0.9793,                0.72291,                0.97892,                 0.6514,                 1.4301,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2333,                0.86222,                 1.6527,                0.95067,                0.93502,                0.97568,                0.70557,                  1.011,                0.70231,                  1.451,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2075,                0.83374,                 1.6643,                0.97412,                0.95116,                0.98009,                0.72881,                0.96727,                0.67857,                 1.4479,               0.000911,               0.000911,               0.000911
                     57,                 1.2439,                0.85177,                 1.6971,                0.96006,                0.95458,                0.97363,                0.70253,                 1.0754,                 0.6672,                 1.4747,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2255,                0.81516,                 1.6508,                0.98858,                 0.9375,                0.97943,                0.73675,                0.95774,                0.65432,                 1.4198,              0.0008714,              0.0008714,              0.0008714
                     59,                  1.218,                0.83125,                  1.651,                0.97765,                0.94749,                 0.9797,                0.73945,                0.96175,                0.64678,                 1.4296,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1709,                0.78954,                 1.6134,                0.97428,                0.95709,                0.98119,                0.72892,                0.96112,                0.64407,                 1.4014,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2073,                0.84801,                 1.6533,                0.96575,                0.93863,                0.97783,                0.72484,                 1.0065,                0.64901,                 1.4586,               0.000812,               0.000812,               0.000812
                     62,                 1.1821,                0.78864,                 1.6179,                0.96685,                0.94769,                0.97891,                0.70938,                 1.0733,                0.63944,                 1.4702,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1576,                0.82682,                 1.6289,                0.97265,                0.93863,                0.97581,                0.73416,                 0.9696,                0.69103,                 1.4029,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1819,                0.81801,                 1.6376,                0.97725,                0.95307,                0.97799,                0.73771,                 0.9487,                0.60956,                 1.4105,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1675,                0.75579,                 1.6059,                0.97402,                0.96029,                0.97927,                0.73164,                0.94989,                0.63953,                 1.4106,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1366,                0.75081,                 1.6021,                0.98883,                0.95905,                0.98056,                0.74889,                0.92159,                0.59412,                 1.3756,               0.000713,               0.000713,               0.000713
                     67,                 1.1494,                0.74697,                  1.602,                0.97333,                0.95668,                0.98595,                0.75241,                0.93458,                0.60493,                 1.3875,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1379,                0.76997,                 1.5814,                0.98136,                0.95017,                0.98531,                0.74535,                0.93966,                 0.5756,                 1.4039,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1285,                0.77654,                 1.5819,                0.98138,                0.95157,                0.98417,                0.73104,                0.97379,                0.60662,                 1.4091,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1054,                0.73959,                  1.549,                0.98166,                0.96594,                0.98295,                0.74423,                0.93836,                0.60512,                 1.3824,              0.0006338,              0.0006338,              0.0006338
